degree,strength,betweenness,betweenness_w,closeness,closeness_w,cities,dates
1.0,1.0,1.0,1.0,0.0,0.0,Manaus/AM,2020-03-13
0.5,0.5,0.5,0.5,0.0,0.0,Salvador/BA,2020-03-13
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,Belém/PA,2020-03-18
0.5,0.5,0.5,0.25,0.25,0.25,Propriá/SE,2020-03-18
0.4,0.4,0.4,0.4,0.2,0.2,Macapá/AP,2020-03-20
0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,São Luís/MA,2020-03-20
0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,Porto Velho/RO,2020-03-21
0.375,0.375,0.25,0.25,0.125,0.25,Parintins/AM,2020-03-22
0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,Rio Grande/RS,2020-03-23
0.3,0.3,0.2,0.2,0.2,0.3,Marabá/PA,2020-03-23
0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,Laguna/SC,2020-03-24
0.25,0.25,0.16666666666666666,0.25,0.16666666666666666,0.3333333333333333,Porto Real do Colégio/AL,2020-03-25
0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.3076923076923077,Santo Antônio do Içá/AM,2020-03-26
0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.2857142857142857,Itaituba/PA,2020-03-26
0.2,0.2,0.2,0.26666666666666666,0.2,0.3333333333333333,Manacapuru/AM,2020-03-27
0.1875,0.1875,0.1875,0.25,0.1875,0.3125,Mangaratiba/RJ,2020-03-28
0.23529411764705882,0.23529411764705882,0.23529411764705882,0.29411764705882354,0.17647058823529413,0.35294117647058826,Itacoatiara/AM,2020-03-29
0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,Anori/AM,2020-03-29
0.21052631578947367,0.21052631578947367,0.21052631578947367,0.3157894736842105,0.15789473684210525,0.3157894736842105,Novo Airão/AM,2020-03-30
0.2,0.2,0.2,0.3,0.25,0.35,Angra dos Reis/RJ,2020-03-30
0.19047619047619047,0.19047619047619047,0.19047619047619047,0.2857142857142857,0.23809523809523808,0.38095238095238093,Abaetetuba/PA,2020-03-31
0.18181818181818182,0.22727272727272727,0.22727272727272727,0.2727272727272727,0.22727272727272727,0.36363636363636365,Careiro da Várzea/AM,2020-03-31
0.17391304347826086,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.34782608695652173,Tucuruí/PA,2020-03-31
0.25,0.20833333333333334,0.25,0.2916666666666667,0.20833333333333334,0.3333333333333333,Santarém/PA,2020-04-01
0.24,0.2,0.24,0.28,0.2,0.32,Barcarena/PA,2020-04-01
0.23076923076923078,0.19230769230769232,0.23076923076923078,0.2692307692307692,0.2692307692307692,0.3076923076923077,Imperatriz/MA,2020-04-01
0.2222222222222222,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.3333333333333333,Paranaguá/PR,2020-04-02
0.25,0.21428571428571427,0.21428571428571427,0.25,0.32142857142857145,0.32142857142857145,Tonantins/AM,2020-04-02
0.2413793103448276,0.20689655172413793,0.2413793103448276,0.2413793103448276,0.3448275862068966,0.3103448275862069,Oeiras do Pará/PA,2020-04-03
0.23333333333333334,0.2,0.23333333333333334,0.26666666666666666,0.3333333333333333,0.3,Altamira/PA,2020-04-03
0.25806451612903225,0.1935483870967742,0.22580645161290322,0.2903225806451613,0.3225806451612903,0.3548387096774194,São José de Ribamar/MA,2020-04-03
0.28125,0.21875,0.21875,0.3125,0.34375,0.40625,Itapiranga/SC,2020-04-04
0.30303030303030304,0.24242424242424243,0.24242424242424243,0.3333333333333333,0.36363636363636365,0.3939393939393939,Santana/AP,2020-04-05
