nodes,matric_values,geocode
4,0.6125461254612546,3509502.0
6,,1301704.0
17,0.608058608058608,3550308.0
11,0.5608108108108109,3106200.0
9,0.5589225589225589,5300108.0
18,0.5407166123778502,3304557.0
15,0.5337620578778135,3543402.0
23,0.5303514376996805,2611606.0
1,0.5286624203821656,5103403.0
29,0.5076452599388379,4314902.0
8,0.4955223880597015,1302603.0
21,0.4896755162241888,1501402.0
27,0.4853801169590643,4106902.0
25,0.4676056338028169,2304400.0
2,0.46111111111111114,5002704.0
10,0.4598337950138504,5208707.0
13,0.4547945205479452,1100205.0
20,0.44148936170212766,1506807.0
30,0.44148936170212766,4205407.0
0,0.3472803347280335,1100049.0
31,,1300409.0
33,,1300706.0
34,,1300805.0
35,,1302702.0
39,,1301605.0
40,,1303908.0
47,0.44385026737967914,2111300.0
45,0.44148936170212766,1600303.0
43,0.43799472295514513,3205309.0
46,0.43342036553524804,2408102.0
16,0.4322916666666667,3549805.0
110,0.43116883116883115,3541406.0
22,0.41708542713567837,1400100.0
12,0.4119106699751861,5107909.0
28,0.4068627450980392,4115200.0
113,0.4068627450980392,2913606.0
108,0.4058679706601467,3143302.0
19,0.40487804878048783,1200401.0
5,0.3600867678958785,1200203.0
26,0.35319148936170214,1500602.0
44,0.3524416135881104,1303403.0
49,0.3524416135881104,1503606.0
3,0.3472803347280335,1100122.0
14,0.3465553235908142,1100304.0
24,0.3360323886639676,1304203.0
7,0.33400402414486924,1302405.0
37,0.33400402414486924,1301209.0
36,0.3333333333333333,1301001.0
38,0.33266533066132264,1301407.0
41,0.33266533066132264,1304062.0
42,0.33266533066132264,1302900.0
32,0.332,1303809.0
48,0.1925754060324826,1505304.0
50,,1303601.0
51,0.4623955431754875,2927408.0
67,0.44986449864498645,1721000.0
57,0.4356955380577428,4108304.0
54,0.43455497382198954,1504208.0
69,0.43455497382198954,2211001.0
52,0.42346938775510207,3170206.0
59,0.41604010025062654,3549904.0
58,0.4119106699751861,2800308.0
70,,1502509.0
71,,1502707.0
72,,1505437.0
73,,1505502.0
74,,1506138.0
75,,1506708.0
76,,1507300.0
78,,1503903.0
79,,5213087.0
81,,1709500.0
83,,2102804.0
87,,2103307.0
88,,2108207.0
89,0.4689265536723164,2704302.0
91,0.46368715083798884,2925303.0
93,0.43455497382198954,4113700.0
100,0.42455242966751916,2611101.0
92,0.41919191919191917,2507507.0
77,0.4119106699751861,4208203.0
64,0.41089108910891087,2105302.0
98,0.4088669950738916,2307304.0
97,0.40786240786240785,2304251.0
84,0.40487804878048783,3170107.0
85,0.39712918660287083,3506003.0
94,0.39712918660287083,2301109.0
99,0.3952380952380952,2504009.0
86,0.39243498817966904,3502804.0
55,0.3851508120649652,1505536.0
90,0.3824884792626728,2207702.0
53,0.37303370786516854,5100250.0
60,0.3593073593073593,1702109.0
95,0.3480083857442348,2408003.0
66,0.33400402414486924,1505908.0
65,0.33001988071570576,1501808.0
68,0.33001988071570576,1600279.0
56,0.32936507936507936,1508100.0
96,0.3192307692307692,2304103.0
101,0.3192307692307692,2305506.0
102,0.3192307692307692,2312304.0
103,0.3192307692307692,2312908.0
104,0.3192307692307692,2313302.0
62,0.3102803738317757,1504802.0
80,0.260596546310832,5103353.0
82,0.260596546310832,5107859.0
63,0.2381635581061693,1505106.0
61,0.23782234957020057,1500404.0
115,,2612208.0
118,0.40487804878048783,2933307.0
119,,2903904.0
120,,2911709.0
124,0.40389294403892945,3525904.0
165,0.40389294403892945,4314100.0
121,0.3789954337899543,2932507.0
117,0.37727272727272726,2903201.0
125,0.36807095343680707,2931350.0
114,0.3600867678958785,3170701.0
126,0.3600867678958785,2932903.0
111,0.3516949152542373,2910800.0
112,0.3516949152542373,2919306.0
106,0.3487394957983193,2510808.0
105,0.3480083857442348,2605459.0
107,0.3472803347280335,2604106.0
109,0.3472803347280335,2924009.0
116,0.3472803347280335,2613909.0
127,,3101706.0
128,,3103405.0
129,,3121605.0
131,,3148103.0
132,,3148004.0
133,,3168606.0
134,,3170057.0
135,,3139409.0
136,,3171303.0
137,,3152501.0
139,,3151800.0
140,,3151503.0
142,,3128709.0
143,,3147907.0
145,0.3933649289099526,5218805.0
147,,3162500.0
149,0.4068627450980392,4104808.0
153,0.3933649289099526,4209102.0
154,,3122306.0
156,0.4058679706601467,5107602.0
152,0.40487804878048783,4204202.0
159,0.4029126213592233,4305108.0
141,0.4019370460048426,5204508.0
148,0.3933649289099526,5003702.0
160,0.3933649289099526,3529005.0
146,0.39243498817966904,3136702.0
163,0.39243498817966904,4119905.0
166,0.39243498817966904,4208807.0
138,0.3905882352941176,3300704.0
150,0.3905882352941176,3300100.0
164,0.3833718244803695,5002209.0
157,0.3824884792626728,3302403.0
158,0.3816091954022989,3303807.0
167,0.3816091954022989,5003207.0
155,0.38073394495412843,5008305.0
161,0.38073394495412843,3503208.0
169,0.38073394495412843,4109401.0
162,0.3789954337899543,3505500.0
130,0.36086956521739133,3104007.0
122,0.3600867678958785,3127701.0
123,0.3600867678958785,3131307.0
144,0.3600867678958785,3202405.0
151,0.3524416135881104,3301009.0
170,,4204608.0
171,,3548906.0
172,0.3789954337899543,3510500.0
173,0.3789954337899543,3516200.0
175,0.3789954337899543,3548500.0
174,0.3562231759656652,5101803.0
188,,4307005.0
189,,4203006.0
190,,4209003.0
201,0.35095137420718814,5100201.0
204,,5100805.0
209,0.37727272727272726,5107925.0
206,0.35095137420718814,5105150.0
202,0.3494736842105263,5102702.0
203,0.3494736842105263,5107040.0
208,0.3487394957983193,5107958.0
210,0.3487394957983193,5105259.0
211,0.3487394957983193,5106224.0
205,0.3480083857442348,5105101.0
212,0.3472803347280335,5106752.0
191,0.33739837398373984,4314407.0
192,0.33739837398373984,4301602.0
193,0.33739837398373984,4304408.0
194,0.33739837398373984,4315602.0
195,0.33739837398373984,4317202.0
196,0.33739837398373984,4317509.0
197,0.33739837398373984,4316907.0
198,0.33739837398373984,4322400.0
199,0.33739837398373984,4318002.0
200,0.33739837398373984,4321501.0
180,0.3287128712871287,4127106.0
185,0.32806324110671936,4128203.0
187,0.32806324110671936,4108403.0
168,0.32741617357001973,4209300.0
176,0.32741617357001973,4101507.0
177,0.32741617357001973,4104303.0
178,0.32741617357001973,4105508.0
181,0.32741617357001973,4118501.0
182,0.32741617357001973,4127700.0
183,0.32741617357001973,4108809.0
184,0.32741617357001973,4118204.0
186,0.32741617357001973,4118402.0
207,0.2601880877742947,5101407.0
179,0.24776119402985075,4106407.0
