nodes,matric_values,geocode
0,2949.6687568529032,1302603.0
10,1643.5747673456806,1501402.0
23,359.34463747634464,1506807.0
14,353.35530880326473,1501808.0
9,267.8530580530578,1301902.0
55,107.78561718052393,1600600.0
13,100.08333333333333,1502103.0
27,96.5,1304104.0
15,92.28929981225532,1500503.0
17,92.28929981225532,1506005.0
20,92.28929981225532,1503101.0
12,90.0,1504604.0
21,85.56875685290319,1303403.0
61,77.19928451510238,1508357.0
67,77.19928451510238,1507805.0
111,47.83333333333333,1504000.0
43,47.166666666666664,1504901.0
8,36.51984126984124,1504802.0
19,25.25,1500404.0
25,23.530835830835834,1505106.0
62,23.0,1304203.0
34,22.328808924217803,1600303.0
42,18.784526807482305,1500305.0
48,17.405555555555555,1507979.0
7,16.537129537129537,1503903.0
45,15.572222222222207,1503002.0
4,9.0,1301308.0
18,9.0,1301209.0
35,8.25,1501303.0
31,7.868341390794763,1600808.0
73,6.25,1502806.0
26,4.666666666666666,1300631.0
33,4.371081715988459,1505908.0
36,3.9499999999999997,1505205.0
39,3.5333333333333337,1303106.0
122,3.0,1200203.0
30,2.922619047619047,1600279.0
90,2.6666666666666665,1302504.0
6,2.333333333333333,1300805.0
83,2.0,2105005.0
84,2.0,2111201.0
64,1.2583333333333333,1505809.0
51,1.0,2927408.0
95,1.0,2105302.0
80,0.9999999999999999,1502509.0
120,0.6666666666666666,1304302.0
5,0.5333333333333333,1300300.0
22,0.5,1507706.0
71,0.5,1500107.0
59,0.44999999999999996,1501105.0
65,0.35,1504505.0
1,0.0,1304260.0
2,0.0,1302108.0
3,0.0,1300029.0
11,0.0,1501204.0
16,0.0,1302801.0
24,0.0,1300904.0
28,0.0,1302405.0
29,0.0,1500701.0
32,0.0,1301704.0
37,0.0,4315602.0
38,0.0,4318507.0
40,0.0,1100205.0
41,0.0,1300839.0
44,0.0,1303304.0
46,0.0,1303007.0
47,0.0,1304401.0
49,0.0,1302900.0
50,0.0,2916104.0
52,0.0,4208401.0
53,0.0,4314498.0
54,0.0,1500206.0
56,0.0,2709202.0
57,0.0,2802403.0
58,0.0,1302702.0
60,0.0,1500602.0
63,0.0,1302207.0
66,0.0,1505304.0
68,0.0,2401107.0
69,0.0,2404408.0
70,0.0,1300102.0
72,0.0,1301159.0
74,0.0,2933208.0
75,0.0,1304062.0
76,0.0,1300607.0
77,0.0,1301605.0
78,0.0,1508084.0
79,0.0,1301852.0
81,0.0,1506302.0
82,0.0,1508100.0
85,0.0,2105104.0
86,0.0,1303205.0
87,0.0,2706703.0
88,0.0,2806404.0
89,0.0,1300060.0
91,0.0,1302306.0
92,0.0,1302553.0
93,0.0,1303908.0
94,0.0,1710706.0
96,0.0,2100204.0
97,0.0,2111300.0
98,0.0,2706802.0
99,0.0,2800704.0
100,0.0,2924405.0
101,0.0,2933604.0
102,0.0,1504208.0
103,0.0,1303700.0
104,0.0,1302009.0
105,0.0,1301001.0
106,0.0,3300100.0
107,0.0,3302601.0
108,0.0,1501006.0
109,0.0,1506401.0
110,0.0,1505700.0
112,0.0,1502855.0
113,0.0,4109500.0
114,0.0,4118204.0
115,0.0,1304237.0
116,0.0,2926004.0
117,0.0,2930204.0
118,0.0,1503606.0
119,0.0,1300086.0
121,0.0,1303809.0
123,0.0,1200351.0
124,0.0,1300409.0
125,0.0,2707503.0
126,0.0,2805703.0
127,0.0,4207205.0
128,0.0,4209409.0
129,0.0,1303957.0
130,0.0,1502004.0
131,0.0,1300680.0
132,0.0,1508308.0
133,0.0,2102903.0
134,0.0,1303601.0
135,0.0,1200393.0
136,0.0,1300508.0
137,0.0,2109403.0
138,0.0,1301803.0
139,0.0,1507904.0
