nodes,matric_values,geocode
0,6.89573552103445,1302603.0
10,6.455964734633589,1501402.0
14,6.26974794557601,1501808.0
9,4.500045695045694,1301902.0
21,3.843767418255987,1303403.0
61,3.5107142857142857,1508357.0
67,3.4051515151515153,1507805.0
31,2.8126856803327396,1600808.0
42,2.718614718614718,1500305.0
19,2.560424169667867,1500404.0
18,2.550799482887664,1301209.0
4,2.549485347812222,1301308.0
105,2.333333333333333,1301001.0
55,2.3126226770750096,1600600.0
15,2.132347553416072,1500503.0
20,2.072516339869281,1503101.0
30,1.9793523469994059,1600279.0
17,1.9148934661583934,1506005.0
33,1.859662004662005,1505908.0
8,1.8296598330510065,1504802.0
63,1.8111111111111111,1302207.0
34,1.6871585419411506,1600303.0
12,1.661227661227661,1504604.0
45,1.6464675533974487,1503002.0
25,1.6154969178099854,1505106.0
27,1.5238095238095237,1304104.0
23,1.4263374227918446,1506807.0
7,1.4107924773066096,1503903.0
48,1.409844899297232,1507979.0
11,1.4047619047619047,1501204.0
62,1.39090628104049,1304203.0
35,1.374371227364185,1501303.0
24,1.3333333333333333,1300904.0
122,1.2605263157894737,1200203.0
29,1.222222222222222,1500701.0
80,1.1984126984126984,1502509.0
73,1.1831299447678758,1502806.0
22,1.072721396250808,1507706.0
59,1.0515412748171369,1501105.0
47,1.0185185185185186,1304401.0
82,1.0081531371853951,1508100.0
78,1.0,1508084.0
1,0.8749999999999999,1304260.0
123,0.8,1200351.0
46,0.7893939393939393,1303007.0
66,0.7780020703933748,1505304.0
95,0.7619047619047619,2105302.0
89,0.7538817600653926,1300060.0
115,0.7393024343592065,1304237.0
93,0.7353186186106849,1303908.0
103,0.7311571772745298,1303700.0
76,0.7123224881518678,1300607.0
32,0.6894179894179893,1301704.0
75,0.6856140896124834,1304062.0
28,0.6666666666666666,1302405.0
71,0.6666666666666666,1500107.0
102,0.6666666666666666,1504208.0
77,0.6315131858335684,1301605.0
36,0.628968253968254,1505205.0
91,0.620859951067107,1302306.0
2,0.6190476190476191,1302108.0
16,0.5531135531135531,1302801.0
111,0.5416666666666666,1504000.0
13,0.5186787227109808,1502103.0
3,0.5156862745098039,1300029.0
56,0.5,2709202.0
57,0.5,2802403.0
60,0.5,1500602.0
26,0.48690476190476195,1300631.0
64,0.44067146800069007,1505809.0
6,0.4303000504701403,1300805.0
43,0.4280913978494624,1504901.0
39,0.3790182593799817,1303106.0
120,0.36995444245113773,1304302.0
40,0.34605492389510356,1100205.0
65,0.3409609503149803,1504505.0
100,0.3333333333333333,2924405.0
101,0.3333333333333333,2933604.0
44,0.32957939964143146,1303304.0
5,0.31851851851851853,1300300.0
104,0.3001700680272109,1302009.0
129,0.29950126117862874,1303957.0
131,0.2654761904761905,1300680.0
70,0.2503807595912859,1300102.0
138,0.25,1301803.0
90,0.23135712024600913,1302504.0
136,0.2252824858757062,1300508.0
84,0.2222222222222222,2111201.0
135,0.21052631578947367,1200393.0
41,0.19900058788947678,1300839.0
121,0.1939655172413793,1303809.0
134,0.1939655172413793,1303601.0
58,0.1921621535369403,1302702.0
119,0.17524420024420023,1300086.0
124,0.17261904761904762,1300409.0
54,0.16666666666666666,1500206.0
83,0.1400966183574879,2105005.0
79,0.13333333333333333,1301852.0
85,0.1111111111111111,2105104.0
86,0.1111111111111111,1303205.0
49,0.10555555555555556,1302900.0
94,0.09523809523809523,1710706.0
92,0.09226190476190475,1302553.0
132,0.09090909090909091,1508308.0
133,0.09090909090909091,2102903.0
112,0.0862708719851577,1502855.0
109,0.07965860597439545,1506401.0
139,0.07142857142857142,1507904.0
130,0.05827702702702703,1502004.0
116,0.05555555555555555,2926004.0
117,0.05555555555555555,2930204.0
52,0.047619047619047616,4208401.0
53,0.047619047619047616,4314498.0
96,0.04081632653061224,2100204.0
97,0.04081632653061224,2111300.0
118,0.03137065637065637,1503606.0
137,0.028985507246376812,2109403.0
110,0.028169014084507043,1505700.0
108,0.026013513513513515,1501006.0
106,0.023809523809523808,3300100.0
107,0.023809523809523808,3302601.0
113,0.023809523809523808,4109500.0
114,0.023809523809523808,4118204.0
127,0.02,4207205.0
128,0.02,4209409.0
81,0.015384615384615385,1506302.0
68,0.015151515151515152,2401107.0
69,0.015151515151515152,2404408.0
98,0.010752688172043012,2706802.0
99,0.010752688172043012,2800704.0
87,0.008333333333333333,2706703.0
88,0.008333333333333333,2806404.0
51,0.006241252481853986,2927408.0
125,0.005376344086021506,2707503.0
126,0.005376344086021506,2805703.0
50,0.0043859649122807015,2916104.0
72,0.0021413276231263384,1301159.0
37,0.00211864406779661,4315602.0
38,0.00211864406779661,4318507.0
74,0.0018552875695732839,2933208.0
