nodes,matric_values,geocode
179,4055069.3807517816,3550308.0
76,1146409.3164743986,3106200.0
33,762384.0742024619,5208707.0
289,703196.385408734,5300108.0
114,632611.930491915,4314902.0
198,561343.454199629,3304557.0
213,549729.5832104828,3509502.0
6,499817.80656170164,2304400.0
95,436587.49741561007,4106902.0
431,392752.40519964637,2408102.0
1599,338071.83597197663,2927408.0
648,301137.2598707381,1501402.0
270,299357.9472626436,2910800.0
214,297863.51174707134,3543402.0
147,294661.0561683495,2611606.0
1254,292720.9807212351,2211001.0
3149,263869.6398903632,1302603.0
338,257405.67297146795,2504009.0
71,253703.41144312135,2111300.0
683,245498.86664209896,2704302.0
385,242825.01992762394,2507507.0
162,238854.85270045887,2800308.0
27,234556.35515825343,5201108.0
96,231699.3153834386,3549805.0
948,210273.49737001953,4115200.0
2623,178822.28712069432,4205407.0
537,176286.46212764815,3127701.0
540,167316.8987118916,4104808.0
1217,161339.80569675216,4304705.0
426,158959.14475299456,1721000.0
3396,157647.57880404213,3136702.0
265,156144.9850551807,3170206.0
109,153608.52149054364,5103403.0
318,151921.54858007672,5002704.0
2085,142619.4774538963,3205309.0
292,135770.67325733916,4113700.0
662,135507.72295332793,2208007.0
286,131786.99244685157,3541406.0
80,131234.7414111918,4318705.0
689,127877.64886868888,2903201.0
234,114487.38814307789,2510808.0
1203,114102.41335805024,3170107.0
242,112022.50836134834,2700300.0
468,109414.18529770036,3549904.0
160,107755.81751207242,4119905.0
89,107584.38910559379,2933307.0
1984,107498.41875074862,2408003.0
1170,100755.49219087423,4108304.0
376,100030.77260522975,4316907.0
530,99922.79321724981,1709500.0
1561,98202.76240175791,1702109.0
919,94647.08701981907,3168606.0
317,90363.59323012622,1100205.0
798,87548.26806843869,1502400.0
1280,86958.26737117657,2105302.0
1191,85683.29366990137,4204202.0
1606,85561.4905809969,3548708.0
1494,84058.6790659312,3131307.0
1193,82140.38558024909,4311403.0
1355,81114.93540412727,2604106.0
85,77719.97031437939,4314100.0
1853,76129.91604929278,4310207.0
117,75930.19202713767,1600303.0
221,73013.30182510243,1506807.0
2648,67284.73911748799,3538709.0
818,67140.26996002387,2919553.0
1287,66625.11537011182,2203909.0
2510,65824.770255126,2101202.0
1351,65816.35308979345,2606002.0
511,65088.14361018294,1200401.0
2441,63953.90696215352,5211503.0
1491,62830.14388421842,1100023.0
216,61936.744863639826,3525904.0
1038,61515.62269675416,4214805.0
2721,60671.59473549475,4313706.0
352,60663.46941828485,2914802.0
1434,60562.661677389144,3143302.0
907,60091.59521952828,4307005.0
316,59699.25406890968,5107602.0
2609,59362.883550771985,5107909.0
383,59327.78236370872,2312908.0
935,59115.761574914606,4104303.0
2204,58557.33310487151,4209300.0
978,57673.08611830413,1716109.0
206,57111.78221547055,3534401.0
1526,57103.66142265919,3554102.0
862,57101.70920599247,4308508.0
340,56495.63257943131,5208004.0
3674,55951.44758838064,3105608.0
730,55097.99981939612,2918001.0
898,54714.596368566105,2805703.0
