nodes,matric_values,geocode
179,13368000.0,3550308.0
76,2350823.125,3106200.0
114,1932699.5,4314902.0
147,1818111.0,2611606.0
1254,1487814.3333333335,2211001.0
289,1470809.5,5300108.0
198,1421863.0,3304557.0
1599,1292056.0,2927408.0
33,1184656.7,5208707.0
213,1069239.0,3509502.0
95,1030867.0,4106902.0
338,876028.8333333334,2504009.0
6,767991.0,2304400.0
648,699699.0,1501402.0
109,677168.5833333333,5103403.0
431,637071.8333333334,2408102.0
96,583929.7,3549805.0
2623,570427.0,4205407.0
948,488550.0,4115200.0
683,484196.5,2704302.0
2085,472419.0,3205309.0
85,449059.0,4314100.0
162,426696.86666666664,2800308.0
214,425827.0,3543402.0
234,420977.0,2510808.0
292,419067.99999999994,4113700.0
71,415080.0833333334,2111300.0
3396,414764.6666666667,3136702.0
89,382266.5,2933307.0
1043,375270.0,2103000.0
1191,365930.0,4204202.0
286,361128.5,3541406.0
1434,320702.0,3143302.0
689,283117.0,2903201.0
3149,273192.0,1302603.0
265,272388.5,3170206.0
662,256807.66666666666,2208007.0
318,256155.33333333334,5002704.0
426,250607.0,1721000.0
385,243460.0,2507507.0
200,240156.0,2108454.0
270,238789.5,2910800.0
793,233949.0,1504208.0
540,233546.0,4104808.0
376,223961.5,4316907.0
537,219449.125,3127701.0
242,214288.0,2700300.0
1280,212954.0,2105302.0
1217,206003.0,4304705.0
160,202800.0,4119905.0
1355,198186.0,2604106.0
798,197689.0,1502400.0
17,186395.0,2307304.0
383,182304.0,2312908.0
932,181066.0,3529005.0
317,180945.0,1100205.0
205,169867.0,4320800.0
480,166553.0,3506003.0
80,163629.5,4318705.0
1494,154128.5,3131307.0
1193,144432.5,4311403.0
1187,139559.0,2512101.0
1984,139537.5,2408003.0
1561,139418.0,1702109.0
367,139397.0,5101803.0
1670,138611.0,2611101.0
811,133996.6666666667,3502804.0
2706,128647.0,5003702.0
1287,123534.0,2203909.0
221,123486.0,1506807.0
722,117911.0,3552205.0
2034,112623.0,4314407.0
2822,112553.0,2506004.0
919,112397.29166666666,3168606.0
511,107412.0,1200401.0
186,105639.0,3143906.0
2720,102664.0,3152501.0
2334,102506.0,2508307.0
1997,101884.0,2928703.0
2960,100870.0,4317202.0
910,96929.5,4202404.0
1038,96805.33333333333,4214805.0
2609,96413.5,5107909.0
305,96350.0,2409407.0
1532,96294.0,3301009.0
1873,96032.0,2913606.0
3667,95781.0,3518404.0
1351,91353.0,2606002.0
117,91348.0,1600303.0
314,91163.0,3201209.0
2496,91075.0,4209102.0
961,91025.0,2925303.0
2519,90955.0,2412203.0
626,90834.0,4118501.0
865,90829.0,4316808.0
639,90314.0,4305108.0
3082,86250.0,2613909.0
1023,86040.0,4128104.0
1980,85793.0,3139409.0
2473,85660.0,3201506.0
1203,85528.0,3170107.0
4032,80761.0,3118304.0
3023,80738.0,3122306.0
2791,80623.0,1702208.0
1031,80467.0,2905206.0
2467,79407.0,3151800.0
1853,75296.0,4310207.0
73,75234.0,2210607.0
2118,75179.16666666666,2403251.0
1279,75161.0,2108207.0
2520,75153.0,2405801.0
316,75137.0,5107602.0
2204,75108.0,4209300.0
863,75098.5,3516200.0
506,75031.33333333333,4204608.0
3674,74957.0,3105608.0
2406,70285.0,2516706.0
530,70102.33333333334,1709500.0
30,69944.0,3167202.0
4168,69898.0,1400100.0
687,69885.5,2802908.0
526,69840.5,3524808.0
732,69699.0,2904605.0
627,69690.0,2910727.0
1106,69668.0,4109401.0
613,69345.0,1100122.0
4664,69258.0,3131901.0
196,65771.0,3504008.0
730,64841.0,2918001.0
610,64630.0,3534708.0
862,64576.5,4308508.0
3262,64518.0,3152105.0
87,64387.5,3511102.0
1033,64380.0,3504107.0
715,64378.0,4116901.0
2721,64143.33333333333,4313706.0
310,64131.0,2610608.0
3346,64103.000000000015,4122404.0
2056,64102.0,2906873.0
391,64078.0,4317509.0
1258,63869.0,4108403.0
1090,60188.0,2109106.0
47,59236.0,2402006.0
354,59187.0,2914604.0
1125,59158.0,2202208.0
27,59155.5,5201108.0
1840,59098.0,3132404.0
783,59095.0,3529906.0
1537,59038.0,5218805.0
1708,58945.0,4219507.0
595,58942.0,3147105.0
387,58863.0,2931350.0
