nodes,matric_values,geocode
5070,1.0,5101605.0
5071,1.0,5107800.0
179,0.5676331049024776,3550308.0
289,0.49944341372912804,5300108.0
213,0.4976890367905343,3509502.0
76,0.4908825674690007,3106200.0
33,0.4896771259663483,5208707.0
198,0.4854386439455414,3304557.0
214,0.47612309869119207,3543402.0
265,0.46874455859306985,3170206.0
27,0.4670772967814696,5201108.0
6,0.4644983176602536,2304400.0
147,0.4636982172078202,2611606.0
270,0.4587984661269706,2910800.0
1203,0.4581737724448983,3170107.0
1599,0.45484497761257076,2927408.0
95,0.4541926775771891,4106902.0
683,0.45384809913175417,2704302.0
109,0.453733355806506,5103403.0
689,0.45129924559932943,2903201.0
540,0.4482184482184482,4104808.0
96,0.44739903606448395,3549805.0
114,0.4459907223326706,4314902.0
948,0.44451783355350066,4115200.0
468,0.4443710795642126,3549904.0
426,0.44258117550349363,1721000.0
919,0.4415286206330982,3168606.0
318,0.4411668305473615,5002704.0
648,0.4411306841458419,1501402.0
537,0.441094543667049,3127701.0
162,0.44076954564060583,2800308.0
1170,0.4394384590270976,4108304.0
316,0.43882957046214033,5107602.0
2623,0.43854361814775594,4205407.0
2441,0.4381153877451379,5211503.0
818,0.43800846078750405,2919553.0
1890,0.43775916741198473,2612208.0
847,0.43588082901554404,3103504.0
317,0.43500040397511514,1100205.0
1254,0.4337737673219465,2211001.0
89,0.43297145154804983,2933307.0
206,0.432901825199003,3534401.0
1606,0.4328670204212896,3548708.0
292,0.4328322212396495,4113700.0
286,0.43251928020565555,3541406.0
385,0.43054778088764495,2507507.0
530,0.4303756994404476,1709500.0
533,0.4301350163777263,2925105.0
613,0.4294488314588817,1100122.0
2085,0.4294488314588817,3205309.0
216,0.4291065593368933,3525904.0
1526,0.4289014578188481,3554102.0
977,0.4274712187375943,1100304.0
892,0.42723377241707666,5211909.0
431,0.42669202726264066,2408102.0
662,0.4259493670886076,2208007.0
71,0.42537726159437467,2111300.0
730,0.4251757087577983,2918001.0
1494,0.42433795712484235,3131307.0
2386,0.4241373877422404,2921302.0
886,0.4239036296354618,5104807.0
1670,0.4236701290525653,2611101.0
2609,0.4235701361025883,5107909.0
798,0.4231373781829613,1502400.0
234,0.42290472076034874,2510808.0
1217,0.4227718884962701,4304705.0
935,0.42273869346733667,4104303.0
1537,0.42273869346733667,5218805.0
1827,0.4227055036507812,5218003.0
1430,0.42267231904537605,3133303.0
269,0.4225396327107204,2304202.0
261,0.42227450980392156,2910602.0
2113,0.4221420730751137,3136207.0
1561,0.42187744867575616,1702109.0
465,0.4218443939512654,2305407.0
978,0.4218443939512654,1716109.0
340,0.42181134440614226,5208004.0
898,0.4214811335525286,2805703.0
392,0.4214481409001957,5213103.0
1355,0.4214481409001957,2604106.0
3396,0.4191514207862982,3136702.0
961,0.41898832684824905,2925303.0
160,0.41849980567431017,4119905.0
1280,0.4178826451412605,2105302.0
1061,0.41778536509660896,2503704.0
1582,0.4176881303335919,1709302.0
2239,0.4176881303335919,3548500.0
338,0.4176233322991002,2504009.0
587,0.4176233322991002,5205109.0
1093,0.41759094082060033,1718204.0
1491,0.4172673021777881,1100023.0
1191,0.41665376876644483,4204202.0
461,0.41658929124110183,4127700.0
383,0.41655705996131526,2312908.0
367,0.4164926123617235,5101803.0
1984,0.41594561186650186,2408003.0
149,0.41562451752354485,2929909.0
1434,0.4155924353531455,3143302.0
848,0.4154962185522457,5211800.0
1571,0.4154641561848908,2100055.0
17,0.4153039185436594,2307304.0
342,0.4146961411076022,2930105.0
2300,0.4146961411076022,5106224.0
1680,0.414664202094886,3104007.0
932,0.4144088669950739,3529005.0
1569,0.41415384615384615,2109908.0
322,0.4136765270841337,5107925.0
862,0.4136765270841337,4308508.0
75,0.41348590738038554,2702405.0
287,0.41348590738038554,5106752.0
2650,0.4134541545077561,2516201.0
111,0.41335892514395395,2302008.0
254,0.41335892514395395,5102504.0
2648,0.41323202087650623,3538709.0
1708,0.41278846891052673,4219507.0
469,0.41269354591445656,3501608.0
1158,0.4125354378974791,4208203.0
2056,0.41244063122414587,2906873.0
2487,0.4124090386824971,3127107.0
2721,0.4124090386824971,4313706.0
1609,0.4122511485451761,3526902.0
627,0.4118411994186491,2910727.0
1649,0.41168374369169597,3148004.0
2496,0.41168374369169597,4209102.0
857,0.411589328033025,3145208.0
1258,0.41143206480207856,4108403.0
2195,0.4113377645351058,5105259.0
2699,0.41127492170193264,3502507.0
1625,0.4112435074854873,5221601.0
1121,0.4110551229195297,4217204.0
1837,0.41086691086691085,1100189.0
1418,0.41077286945906766,2913200.0
626,0.4104597087748723,4118501.0
242,0.41033457815715263,2700300.0
496,0.4102095238095238,4320107.0
85,0.4097100677269614,4314100.0
901,0.4096788921016588,3304201.0
391,0.40952308511447477,4317509.0
1017,0.40949193793732885,2900702.0
1807,0.4092118264041955,4219705.0
388,0.40911854103343465,3503208.0
623,0.4090252981843045,2305506.0
1565,0.4090252981843045,2104057.0
1678,0.4090252981843045,3537305.0
1986,0.4088699878493317,5100409.0
2580,0.4088699878493317,5100250.0
1024,0.4088389399346951,4115804.0
2604,0.4088078967350038,3547809.0
346,0.4087768582491838,1100155.0
610,0.4087768582491838,3534708.0
1146,0.4087147954148637,5219407.0
356,0.4086527514231499,4202008.0
358,0.4086527514231499,1705508.0
2624,0.4084047637108397,5206206.0
1532,0.408373786407767,3301009.0
2238,0.408373786407767,3505500.0
1119,0.40812613705275924,3548906.0
376,0.4079405970601606,4316907.0
230,0.4078169974246326,2302503.0
1937,0.4077552256891851,3148103.0
1853,0.4076934726639406,4310207.0
267,0.4074774842957693,3204906.0
1583,0.4072309205052568,5218300.0
953,0.4069231350615978,2601201.0
907,0.4068001511144692,4307005.0
2418,0.40673868701367377,5103205.0
1187,0.4066772414834957,2512101.0
3324,0.4066772414834957,5102793.0
387,0.4066465256797583,2931350.0
3239,0.4066465256797583,5106216.0
218,0.40655440610133653,1100254.0
2157,0.4061863447755564,2914703.0
266,0.40603318250377074,5201405.0
877,0.40594134057151476,4306106.0
1206,0.4059107358262967,4216701.0
985,0.40584954017789837,1100049.0
2755,0.40581894927263135,3306305.0
