nodes,matric_values,geocode
179,1465,3550308.0
76,655,3106200.0
213,614,3509502.0
33,605,5208707.0
289,581,5300108.0
198,464,3304557.0
1599,438,2927408.0
270,436,2910800.0
95,428,4106902.0
114,428,4314902.0
27,382,5201108.0
214,376,3543402.0
540,371,4104808.0
6,361,2304400.0
948,351,4115200.0
1217,335,4304705.0
96,325,3549805.0
1254,310,2211001.0
689,301,2903201.0
318,295,5002704.0
89,293,2933307.0
147,290,2611606.0
265,287,3170206.0
537,284,3127701.0
286,279,3541406.0
109,273,5103403.0
80,271,4318705.0
2623,259,4205407.0
292,255,4113700.0
1191,250,4204202.0
530,249,1709500.0
818,243,2919553.0
935,239,4104303.0
1203,239,3170107.0
160,238,4119905.0
338,236,2504009.0
683,236,2704302.0
1193,235,4311403.0
862,234,4308508.0
385,231,2507507.0
1170,230,4108304.0
468,229,3549904.0
496,227,4320107.0
162,226,2800308.0
2608,224,4307807.0
461,223,4127700.0
648,222,1501402.0
3396,221,3136702.0
71,219,2111300.0
426,219,1721000.0
1606,218,3548708.0
431,214,2408102.0
2721,214,4313706.0
469,213,3501608.0
205,212,4320800.0
1121,212,4217204.0
316,211,5107602.0
216,206,3525904.0
356,205,4202008.0
919,205,3168606.0
2441,205,5211503.0
206,203,3534401.0
395,202,4312401.0
1708,199,4219507.0
662,198,2208007.0
730,198,2918001.0
85,197,4314100.0
149,193,2929909.0
1494,193,3131307.0
1853,189,4310207.0
1024,187,4115804.0
2706,187,5003702.0
1561,186,1702109.0
1258,185,4108403.0
352,184,2914802.0
1086,184,4310504.0
1355,183,2604106.0
2085,182,3205309.0
2496,182,4209102.0
1509,181,4210506.0
340,178,5208004.0
1158,177,4208203.0
2386,176,2921302.0
626,175,4118501.0
2960,175,4317202.0
376,172,4316907.0
2648,172,3538709.0
1280,171,2105302.0
3478,171,5005707.0
234,170,2510808.0
391,170,4317509.0
2239,169,3548500.0
2510,169,2101202.0
17,168,2307304.0
200,168,2108454.0
367,167,5101803.0
383,165,2312908.0
1670,164,2611101.0
1895,164,4114609.0
1206,163,4216701.0
892,161,5211909.0
2113,161,3136207.0
1043,160,2103000.0
798,159,1502400.0
1077,158,4121406.0
1860,158,4108809.0
978,157,1716109.0
847,156,3103504.0
2604,156,3547809.0
1807,154,4219705.0
279,153,4313409.0
317,153,1100205.0
2609,153,5107909.0
269,152,2304202.0
722,151,3552205.0
1827,151,5218003.0
3028,151,4313904.0
613,150,1100122.0
1434,150,3143302.0
1537,150,5218805.0
639,149,4305108.0
1287,149,2203909.0
2433,148,5003306.0
480,147,3506003.0
1526,147,3554102.0
358,146,1705508.0
1625,146,5221601.0
3038,146,5005681.0
932,144,3529005.0
1418,144,2913200.0
793,143,1504208.0
3641,143,5003751.0
90,142,4208302.0
1061,141,2503704.0
907,140,4307005.0
1890,140,2612208.0
2918,140,5004601.0
627,139,2910727.0
388,138,3503208.0
533,137,2925105.0
2157,137,2914703.0
2570,137,4320206.0
910,136,4202404.0
1023,136,4128104.0
877,135,4306106.0
886,134,5104807.0
977,134,1100304.0
848,133,5211800.0
711,132,4102604.0
1678,132,3537305.0
2107,131,3119401.0
242,130,2700300.0
766,130,2112209.0
1771,130,4212106.0
1532,129,3301009.0
951,128,4302105.0
1609,127,3526902.0
2056,127,2906873.0
392,126,5213103.0
1491,125,1100023.0
1997,125,2928703.0
554,124,4209003.0
1119,124,3548906.0
266,123,5201405.0
1558,123,2106755.0
322,122,5107925.0
2768,121,4128005.0
811,120,3502804.0
1038,120,4214805.0
2300,120,5106224.0
1571,119,2100055.0
1582,119,1709302.0
2204,119,4209300.0
1430,118,3133303.0
1569,118,2109908.0
1728,118,4308904.0
610,117,3534708.0
1575,117,5200803.0
1680,117,3104007.0
3122,117,5007695.0
254,116,5102504.0
346,116,1100155.0
650,116,1502202.0
953,116,2601201.0
1984,116,2408003.0
2487,116,3127107.0
342,115,2930105.0
1293,114,2211308.0
2195,114,5105259.0
2699,114,3502507.0
3082,114,2613909.0
521,113,4124400.0
1495,113,4206405.0
1952,113,4115606.0
2650,113,2516201.0
4406,113,3149903.0
476,112,3138401.0
1106,112,4109401.0
898,111,2805703.0
196,110,3504008.0
1837,110,1100189.0
587,109,5205109.0
946,108,2921708.0
2707,108,5006002.0
556,107,2917508.0
1639,107,4308607.0
3674,107,3105608.0
1,106,5108402.0
287,106,5106752.0
863,106,3516200.0
1873,106,2913606.0
186,105,3143906.0
223,105,2207702.0
1076,105,4205001.0
2755,105,3306305.0
985,104,1100049.0
1092,104,1502954.0
1565,104,2104057.0
2504,104,4105300.0
3029,104,4115408.0
3346,104,4122404.0
111,103,2302008.0
221,103,1506807.0
261,103,2910602.0
883,103,3543907.0
961,103,2925303.0
1187,103,2512101.0
2264,103,4204301.0
2882,103,4204806.0
1093,102,1718204.0
1970,102,3300407.0
2242,101,4309001.0
831,100,2911709.0
1017,100,2900702.0
1466,100,4307906.0
1804,100,1713304.0
354,99,2914604.0
887,99,4203600.0
1042,99,1505536.0
3078,99,4208906.0
368,98,5107040.0
387,98,2931350.0
732,98,2904605.0
623,97,2305506.0
782,97,2909703.0
857,97,3145208.0
2019,97,5218607.0
2170,97,3522307.0
2238,97,3505500.0
414,96,4101408.0
422,96,1100114.0
543,96,4218707.0
581,96,2909802.0
1499,96,2207009.0
1053,95,4216909.0
1090,95,2109106.0
1707,95,4113304.0
218,94,1100254.0
323,94,2313401.0
445,94,2905602.0
901,94,3304201.0
1795,94,4311205.0
1859,93,5102678.0
2017,93,1506609.0
2970,93,3520442.0
1649,92,3148004.0
2646,92,4119004.0
305,91,2409407.0
563,91,2302800.0
601,91,4321204.0
713,91,4105508.0
2432,91,4125704.0
2686,91,4302154.0
267,90,3204906.0
465,90,2305407.0
865,90,4316808.0
1171,90,4104501.0
1351,90,2606002.0
2088,90,5107701.0
2580,90,5100250.0
3116,90,4306932.0
522,89,5100201.0
614,89,2930501.0
720,89,5210208.0
1583,89,5218300.0
519,88,2924009.0
600,88,1700707.0
797,88,2918407.0
