nodes,matric_values,geocode
179,224.6394559112625,3550308.0
76,85.1779037042667,3106200.0
289,81.39116163084357,5300108.0
213,73.51953500479412,3509502.0
214,71.49704002315988,3543402.0
317,69.37558679649779,1100205.0
198,62.56908245697419,3304557.0
33,60.42939385875923,5208707.0
1606,55.48717033658927,3548708.0
270,55.30798624442903,2910800.0
689,47.879186726497316,2903201.0
2441,46.48675936778092,5211503.0
847,46.42519759781594,3103504.0
1599,46.41137677930828,2927408.0
3149,46.338777557723304,1302603.0
27,46.135805664332366,5201108.0
114,43.317604053469125,4314902.0
818,41.953527344085515,2919553.0
95,41.03899632019178,4106902.0
1217,40.452486951847476,4304705.0
216,40.40576876703704,3525904.0
6,39.890063302165494,2304400.0
468,39.50000444728956,3549904.0
496,39.42789346590881,4320107.0
206,39.12595529564686,3534401.0
530,38.636999944229366,1709500.0
2609,38.388552562945804,5107909.0
89,37.724091197118966,2933307.0
85,36.94717051984866,4314100.0
613,35.194502022449335,1100122.0
480,34.875785000659334,3506003.0
96,34.72302178153165,3549805.0
265,33.56217166760323,3170206.0
2085,33.247740110803015,3205309.0
762,33.189954948633016,4314050.0
935,33.1663453570279,4104303.0
540,32.90708654460899,4104808.0
2580,32.371902578429186,5100250.0
149,32.29595830046698,2929909.0
1170,31.911728183337072,4108304.0
948,31.65644155742102,4115200.0
1203,31.523919443857935,3170107.0
80,31.27491037428898,4318705.0
1086,31.216204086133832,4310504.0
346,30.835420160052312,1100155.0
1532,30.692651234904442,3301009.0
426,30.661912179063442,1721000.0
730,30.39486735015029,2918001.0
318,30.198149410068353,5002704.0
1486,29.74270463140097,4218202.0
1191,29.553066846099462,4204202.0
537,29.47319301480477,3127701.0
1494,29.437990773875747,3131307.0
147,28.861088589545155,2611606.0
340,28.264842239676067,5208004.0
1561,27.900196620771215,1702109.0
601,27.400088313943968,4321204.0
75,27.369495647276548,2702405.0
1121,27.339185231461844,4217204.0
2623,27.13821308714082,4205407.0
4168,26.800038728667264,1400100.0
109,26.71350113553335,5103403.0
2721,26.62525714676339,4313706.0
892,26.465559441216023,5211909.0
