nodes,matric_values,geocode
229,32.29316839478022,1600303.0
230,30.61411478730161,1600402.0
3662,28.712379740248142,3550308.0
3223,28.30163457935343,3509205.0
3228,28.23736656360594,3509502.0
3099,28.11075827226046,3304557.0
3644,28.03249436225237,3548500.0
3681,27.979003606638493,3552205.0
3565,27.959207022997127,3541000.0
3669,27.875197006010403,3551009.0
3406,27.80373243011373,3525904.0
3169,27.692496563737382,3504107.0
3657,27.58149509615773,3549904.0
3831,27.538328470077687,4106902.0
3531,27.508561582962297,3537602.0
3456,27.456709581748978,3530805.0
3153,27.43377138992908,3502754.0
3112,27.425252769552678,3305554.0
3625,27.421606705670246,3546801.0
3395,27.29461225264357,3524709.0
3159,27.264948857522633,3503208.0
3141,27.19814596926564,3501608.0
3541,27.19357960790141,3538709.0
3704,27.165447890592645,3554102.0
3656,27.158609571615433,3549805.0
2912,27.153169037681156,3168606.0
3071,27.10250017075868,3302403.0
2191,27.08855670845166,3106200.0
3455,27.057520811238284,3530706.0
3080,27.037616650684974,3303302.0
3367,26.990986287798147,3522109.0
3592,26.98507514987909,3543402.0
3648,26.95044840950939,3548906.0
3459,26.936154171891648,3531100.0
3046,26.88295982035802,3300704.0
3350,26.864896560686518,3520509.0
3324,26.861224324110534,3518404.0
3087,26.85299173394267,3303906.0
3454,26.817794691619124,3530607.0
3381,26.813369001538863,3523305.0
1843,26.800048001621516,2910800.0
3527,26.799327278030745,3537206.0
3167,26.788997974353602,3503901.0
1968,26.779729350951726,2921302.0
5321,26.773527998297297,5300108.0
3665,26.75501183492213,3550605.0
3064,26.698975034375753,3302007.0
3051,26.697388269016766,3301009.0
3043,26.619485717662123,3300407.0
3038,26.605125657577094,3300209.0
1925,26.60129354126672,2918001.0
3597,26.592182864161046,3543907.0
3122,26.57605578001373,3306305.0
3098,26.553269933822634,3304524.0
3055,26.543079244263264,3301306.0
3327,26.536840797350386,3518701.0
3062,26.535216423117166,3301876.0
3510,26.51597090788688,3535606.0
4203,26.50683208667673,4205407.0
3150,26.475856822196178,3502507.0
3416,26.463420608090537,3526902.0
5173,26.45892457494659,5208707.0
3259,26.456757883204833,3512803.0
3207,26.43810890883707,3507605.0
3676,26.40217813961112,3551702.0
3379,26.385232868211475,3523107.0
2536,26.37798326752019,3136652.0
2587,26.373926230625873,3140704.0
4247,26.353578325748945,4209102.0
3108,26.336631222128442,3305208.0
3409,26.327523889182793,3526209.0
3036,26.320210458573474,3300100.0
3611,26.31806162465182,3545308.0
3195,26.3114425422091,3506607.0
2047,26.30850356658695,2927408.0
232,26.286892195040465,1600535.0
3925,26.26310366143168,4113700.0
3392,26.249208350972005,3524402.0
3302,26.245385125137457,3516309.0
3303,26.245385125137457,3516408.0
3188,26.21591674642141,3506003.0
3382,26.2034236113438,3523404.0
3184,26.19562252106739,3505609.0
2730,26.19382096642512,3152501.0
3610,26.162754538040364,3545209.0
3735,26.152108415747055,3556701.0
3083,26.14549661256999,3303609.0
2186,26.138981265606585,3105608.0
2744,26.13621766090294,3153905.0
3095,26.135023240775727,3304300.0
2048,26.130194099706745,2927507.0
2480,26.110420398302853,3131901.0
3674,26.078381489406933,3551504.0
3646,26.07678671330939,3548708.0
228,26.063645899586618,1600279.0
2537,26.047845079367562,3136702.0
3387,26.03542638843647,3523909.0
2897,26.034498551124358,3167202.0
3391,26.007266513164335,3524303.0
4959,25.999999999999943,5101605.0
5064,25.999999999999943,5107800.0
3556,25.993168426554686,3540200.0
