nodes,matric_values,geocode
3662,1461,3550308.0
2191,643,3106200.0
5173,604,5208707.0
3228,596,3509502.0
5321,572,5300108.0
3099,461,3304557.0
1843,436,2910800.0
2047,433,2927408.0
3831,427,4106902.0
4701,423,4314902.0
5097,382,5201108.0
3807,371,4104808.0
3592,368,3543402.0
861,358,2304400.0
3942,351,4115200.0
4474,335,4304705.0
3656,323,3549805.0
794,309,2211001.0
1751,300,2903201.0
4885,295,5002704.0
2123,293,2933307.0
2931,286,3170206.0
2432,284,3127701.0
1485,283,2611606.0
3570,277,3541406.0
4772,271,4318705.0
4982,270,5103403.0
4203,257,4205407.0
3925,255,4113700.0
294,249,1709500.0
4184,249,4204202.0
1946,243,2919553.0
2930,239,3170107.0
3799,239,4104303.0
4004,238,4119905.0
1193,236,2504009.0
4613,235,4311403.0
1585,234,2704302.0
4557,234,4308508.0
1237,231,2507507.0
3657,229,3549904.0
3856,229,4108304.0
4793,227,4320107.0
1642,226,2800308.0
4543,224,4307807.0
4106,223,4127700.0
2537,221,3136702.0
3646,218,3548708.0
365,216,1721000.0
550,216,2111300.0
4670,214,4313706.0
1069,213,2408102.0
3141,213,3501608.0
4357,212,4217204.0
4807,212,4320800.0
5057,211,5107602.0
2912,205,3168606.0
3406,205,3525904.0
4148,205,4202008.0
5201,205,5211503.0
3497,203,3534401.0
4638,202,4312401.0
4386,199,4219507.0
738,198,2208007.0
1925,198,2918001.0
4680,195,4314100.0
2079,193,2929909.0
2474,193,3131307.0
4583,189,4310207.0
3952,187,4115804.0
112,186,1501402.0
248,186,1702109.0
4897,186,5003702.0
3858,185,4108403.0
1889,184,2914802.0
4591,184,4310504.0
1402,183,2604106.0
4247,182,4209102.0
4266,181,4210506.0
5166,178,5208004.0
3035,177,3205309.0
1968,176,2921302.0
4237,176,4208203.0
3988,175,4118501.0
4744,175,4317202.0
3541,172,3538709.0
4739,172,4316907.0
459,171,2105302.0
4918,171,5005707.0
1275,170,2510808.0
4748,170,4317509.0
390,169,2101202.0
3644,169,3548500.0
509,168,2108454.0
901,168,2307304.0
4961,167,5101803.0
969,165,2312908.0
3937,164,4114609.0
1479,163,2611101.0
4351,163,4216701.0
2528,161,3136207.0
5205,161,5211909.0
422,160,2103000.0
128,159,1502400.0
3865,158,4108809.0
4025,158,4121406.0
326,157,1716109.0
2163,156,3103504.0
3636,156,3547809.0
4388,154,4219705.0
4662,153,4313409.0
853,152,2304202.0
5068,152,5107909.0
3681,151,3552205.0
4672,151,4313904.0
5265,151,5218003.0
11,150,1100122.0
2616,150,3143302.0
5274,150,5218805.0
662,149,2203909.0
4481,148,4305108.0
4893,148,5003306.0
3704,147,3554102.0
274,146,1705508.0
4917,146,5005681.0
5312,146,5221601.0
16,145,1100205.0
3188,145,3506003.0
1871,144,2913200.0
3437,144,3529005.0
4898,143,5003751.0
4238,142,4208302.0
1189,141,2503704.0
152,140,1504208.0
1491,140,2612208.0
4532,140,4307005.0
4906,140,5004601.0
1840,139,2910727.0
3159,138,3503208.0
1888,137,2914703.0
2019,137,2925105.0
4794,137,4320206.0
4114,136,4128104.0
4156,136,4202404.0
4509,135,4306106.0
